Time,Qbor_pos_first_year,Qbor_pos_second_year,Qbor_pos_tenth_year,Qbor_pos_avg_20_years
0,0.0,725.7091675,614.2093506,588.3790863050001
3600,2375.795166,572.3473511,500.5012512,596.2272750799999
7200,2919.289795,467.0479736,419.2589111,544.6166046049999
10800,4022.721436,392.0693359,358.9525146,541.7224441700001
14400,4470.174805,487.8242798,467.2870178,667.147151195
18000,4676.410156,2572.713135,2514.037354,2624.6431274999995
21600,4785.232422,3454.959473,3382.384033,3456.1476441
25200,4845.128418,3873.421875,3795.640869,3852.2737060499994
28800,4875.73877,4101.731445,4021.88623,4069.01916515
32400,4891.980957,4237.450195,4156.820313,4198.17380375
36000,4897.241211,4320.475098,4239.679199,4276.97932125
39600,4895.894531,4372.014648,4291.34668,4260.7948242
43200,4891.879395,4404.546387,4324.134766,4235.927294900001
46800,4885.493164,4424.623047,4091.020752,4238.599096750001
50400,4878.671875,4414.359375,4063.292725,4181.521630849999
54000,4870.732422,4153.854004,4237.639648,4116.9964355
57600,4863.045898,3141.093506,4064.838135,3983.4780394999993
61200,4403.47998,1930.821655,3890.489746,3727.3509520499997
64800,4508.436035,2612.499268,4077.807373,3878.5611938
68400,4334.245117,3357.46582,3470.435547,3353.3077759
72000,4591.162109,3579.744873,2080.224121,2283.87542125
75600,3168.377197,2068.010498,1403.005249,1515.34744875
79200,1964.107544,1344.020142,1036.332153,1085.7025939399998
82800,1366.530762,975.5613403,806.0789795,831.597152725
86400,1025.02417,753.3570557,649.257019,664.1926208500001
90000,799.5308838,604.2666016,537.9397583,546.7797180199999
93600,641.6260986,499.537262,456.0376892,461.09764404500004
97200,1584.424438,423.3784485,393.6218567,449.2006469500001
100800,3218.208252,1224.011353,793.8754272,1254.8575530399999
104400,3933.201416,2897.628418,2666.644775,2874.7206787
108000,4288.279297,3610.219238,3456.213135,3569.2224487
111600,4488.205078,3960.011719,3837.513184,3911.854724099999
115200,4607.944336,4156.627441,4049.206055,4105.0151123
118800,4678.912109,4274.825195,4176.266602,4221.37241215
122400,4721.555664,4347.460938,4254.534668,4293.08610845
126000,4748.53418,4392.141602,4302.894531,4337.445361450001
129600,4764.949707,4419.201172,4332.438965,4364.47814945
133200,4771.28418,4431.224121,4346.697754,4377.7276123500005
136800,4733.195313,4372.195801,4293.472656,4329.2594239
140400,3313.602783,2684.542969,2724.436768,2827.8954955499994
144000,2052.70752,1714.393066,1725.141968,1778.8514099
147600,1424.891113,1218.898804,1219.184814,1250.95114745
151200,2023.402466,925.1171265,922.2633057,991.564352435
154800,3420.941406,730.9967041,727.1130371,871.9683624149999
158400,2111.794189,596.0117798,591.8014526,675.3553069799999
162000,1322.033203,498.6709595,494.482605,541.67434997
165600,939.9372559,425.9081421,421.9217224,452.44123382500004
169200,722.2411499,369.711731,366.002533,387.577732855
172800,579.4579468,325.1810303,321.7625732,337.77076416000006
176400,477.8492126,289.2249451,286.0827942,350.35533902500003
180000,403.4324341,303.8035278,552.1480713,637.636715715
183600,2574.944092,2385.422119,2455.835693,2416.1615601
187200,3561.498535,3299.392578,3269.12085,3196.0265381
190800,4054.901367,3781.300293,3145.512695,3618.1961059500004
194400,4329.3125,4037.845459,3798.932373,3861.6433593999996
198000,4030.859619,3619.883301,4084.003174,4030.54194325
201600,4354.86377,4118.292969,4221.928223,4219.524340949999
205200,4584.5625,4311.689453,4298.5,4314.4881835
208800,4678.712402,4395.276367,4344.809082,4365.2190185
212400,4724.865723,4438.43457,4373.013672,4394.7295899
216000,4750.250977,4462.728027,4389.413086,4411.7633301000005
219600,4763.375488,4475.458984,4397.874023,4420.533471549999
223200,4768.591309,4480.725586,4401.057129,4423.478320349999
226800,4769.84668,4473.460938,4394.571289,4412.8907715000005
230400,4749.700684,4393.225586,4322.78418,4219.329882700001
234000,4153.212891,2601.848877,2674.740479,2659.0461731500004
237600,2475.77832,1687.640015,1717.330566,1756.79808955
241200,1650.181274,1213.449951,1226.393921,1531.4776977000001
244800,1206.503906,927.7579346,934.2684937,1100.1862365450002
248400,930.0993652,737.260437,740.6054688,831.31068426
252000,742.5580444,603.9133301,605.4671631,752.285342385
255600,610.7623901,2107.459717,507.6594238,670.3258270150001
259200,514.7597656,1628.785767,434.2813416,544.4068924100001
262800,1162.670532,987.7088013,377.4124451,564.520111095
266400,2967.880615,692.149292,1758.410889,1490.5845153750001
270000,3763.712646,1830.227295,2969.663818,2641.7384094
273600,4149.692383,3128.257813,3548.149414,3426.4765624499996
277200,4382.299316,3715.217041,3881.42334,3832.5484862
280800,4525.507813,4017.504639,4079.384521,4060.30302735
284400,4613.324219,4191.02002,4198.273926,4194.80579835
288000,4668.270996,4295.706055,4271.057617,4276.847436499999
291600,4702.697754,4360.226074,4316.842285,4328.171045
295200,4724.74707,4400.820801,4346.381836,4361.071826199999
298800,4738.617676,4426.70166,4365.481445,4351.5039673500005
302400,4746.556641,4442.958008,4377.307617,4282.009375049999
306000,4749.942383,4452.450684,4322.284668,4262.3770875499995
309600,4749.980957,4457.021484,3878.641602,4258.83812255
313200,4747.904297,4391.900879,4233.807129,4259.064257850001
316800,4227.211426,3950.211426,4340.231445,4281.854406750001
320400,4552.000488,4175.987305,4371.883789,4345.8980225
324000,4683.695801,4254.556152,4372.564941,4362.837402300001
327600,4676.404785,4033.214355,4314.50293,4269.3553833
331200,3269.706299,2387.98999,2699.83374,2703.7715943000003
334800,2045.300293,1581.866699,1740.343994,1944.8140808
338400,1435.051147,1156.898315,1248.522827,1622.7907042499999
342000,1084.981567,895.8571777,1951.565674,1417.487216155
345600,857.22229,719.6357422,1674.270752,1275.6963896900002
349200,1311.983154,1628.896118,1079.80835,1177.2354797949997
352800,1972.661621,1426.770996,786.9631348,902.9619964500001
356400,3346.458496,896.4903564,622.2207031,775.81686706
360000,3934.097412,1868.492798,1546.240723,1711.9237915499998
363600,4259.31543,3196.251709,3004.206787,3087.38538815
367200,4448.439453,3767.316895,3627.943359,3680.64783935
370800,4559.981934,4050.693604,3936.304932,3975.5773927
374400,4626.937988,4211.597656,4110.505859,4142.668640100001
378000,4668.03125,4308.509766,4215.091797,4243.159985249999
381600,4693.683594,4367.905273,4279.121094,4304.80053715
385200,4709.466309,4404.55957,4318.740723,4342.9979738
388800,4718.638672,4427.236328,4343.472168,4366.8335692499995
392400,4723.237305,4441.063477,4358.827148,4375.09606935
396000,4724.581543,4448.949219,4367.950195,4303.678588950001
399600,4723.721191,4442.437988,4367.754395,4265.1409546
403200,4704.842773,4367.977051,3964.07373,4229.3394653
