Time,Qbor_pos_first_year,Qbor_pos_avg_20_years
3600,2331.421143,556.4528335699999
7200,2850.051025,513.9681548950001
10800,3925.453125,516.34734955
14400,4366.83252,694.252632155
18000,4568.252441,2572.20729975
21600,4673.646973,3366.4800537
25200,4731.095215,3745.35555415
28800,4760.114746,3952.7811767499998
32400,4775.301758,4076.2035035500003
36000,4779.809082,4151.412170400001
39600,4777.920898,4134.1569091500005
43200,4773.478027,4104.9221559
46800,4766.872559,3976.17803965
50400,4759.940918,3886.59709475
54000,4751.87793,3794.0560914000002
57600,4744.060059,3798.6517455500007
61200,4294.872559,3668.6272949000004
64800,4385.276367,3681.1008666499993
68400,4204.567871,3809.5524414000006
72000,4473.130371,3118.5540771999995
75600,3248.759277,1942.3610839500002
79200,1992.982422,1310.504702685
82800,1375.389404,968.161511255
86400,1026.875977,754.592089855
90000,798.583374,609.21838684
93600,639.2929688,505.75681457999997
97200,2618.350586,534.2540359550001
100800,3530.014404,1763.7120970499996
104400,4002.652832,3021.1864502500002
108000,4270.333984,3576.6693115999997
111600,4427.625488,3858.7125853999996
115200,4522.157227,4020.2104736499996
118800,4577.883301,4109.66241455
122400,4611.327148,4018.5710693500005
126000,4632.565918,3997.92342525
129600,4645.263672,3953.3373046999995
133200,4646.837891,3905.79536155
136800,4569.072266,4031.9125120999997
140400,2727.039307,3078.8523681499996
144000,1762.38147,1881.78216555
147600,1261.551758,1286.6160340000001
151200,2986.647217,2239.33120125
154800,3755.618896,3233.86925035
158400,2539.550781,2169.07055665
162000,1552.609863,1337.54716805
165600,1079.525879,940.5677795400001
169200,814.8013916,717.21567688
172800,644.213623,571.58035584
176400,525.0214844,470.36510772
180000,439.0626221,485.52168425
183600,2027.8927,748.7176223150001
187200,3252.837891,1986.24736325
190800,3839.029541,3000.32968755
194400,4154.498047,3467.51082755
198000,3890.69165,3735.9302001999995
201600,4207.626465,3979.8516357
205200,4445.991699,4104.5536011
208800,4544.438477,4015.317346199999
212400,4592.969238,3988.9195069
216000,4619.849121,3973.6418334
219600,4634.046387,3896.742272950001
223200,4640.095703,3838.340429600001
226800,4642.307129,3867.68077385
230400,4625.965332,3943.0250611
234000,4293.998535,3573.8975587
237600,3427.945557,3553.436963000001
241200,4053.167236,3694.9261230500006
244800,2501.921143,2233.1228760500003
248400,1619.702515,1457.9573609000001
252000,1166.934082,1057.07373355
255600,897.3530273,815.253408815
259200,717.5154419,653.199273685
262800,590.0245361,539.06811524
266400,1078.030273,484.829136645
270000,2904.394775,939.5477539000001
273600,3614.139648,2630.7591674999994
277200,4007.938232,3373.2340209999993
280800,4243.474609,3739.829370049999
284400,4385.185059,3943.7239990500007
288000,4471.888672,4065.59728995
291600,4525.527344,4040.2828491499995
295200,4559.778809,3947.2348145000005
298800,4581.906738,3862.3810303
302400,4595.782227,3791.91268315
306000,4603.627441,3763.378344700001
309600,4607.095215,3673.5124757500002
313200,4607.678223,3606.6185668499993
316800,4107.538086,3550.19334715
320400,4411.391113,3609.8219971
324000,4546.34375,3651.6752318500003
327600,4543.01709,3791.16994625
331200,3287.880859,3499.3982789
334800,2041.344604,2314.5153077000004
338400,1424.064331,1776.0696777999997
342000,1073.162842,1483.6644317699997
345600,846.0823975,1304.621832285
349200,1285.272339,1217.8591704950002
352800,2647.831787,1805.9777710350002
356400,3542.285156,2519.92734675
360000,3882.415527,2777.74744875
363600,4148.773438,3497.3664306499995
367200,4327.199219,3816.6269044
370800,4433.897461,3887.7063843000005
374400,4497.551758,3797.5990844
378000,4536.607422,3715.18864745
381600,4561.137207,3667.298583999999
385200,4576.347168,3649.33350835
388800,4585.269531,3594.9619629
392400,4589.829102,3628.3381713999997
396000,4591.288574,3572.3823364000004
399600,4590.726563,3577.1559936999997
403200,4565.689453,3500.5807372499994
406800,4460.695801,3316.2949341500002
410400,4213.489746,3356.8959595
414000,4170.538086,3599.6805298499994
417600,2888.005615,3503.071814
421200,1844.941895,2202.2589112
424800,1315.878784,1437.2177061999996
428400,1006.570862,1042.944888335
432000,802.2611084,806.27629394
435600,659.0632935,648.085009775
439200,554.8270264,1141.756878625
442800,2312.623047,2070.6580032449997
446400,3362.718994,3059.2952271000004
450000,3872.329102,3570.6659424
453600,4150.736816,3822.7443603500005
457200,4313.837891,3811.0835692499995
460800,4412.668945,3695.4515258500005
464400,4473.545898,3636.398278949999
468000,4512.080078,3585.5771240000004
471600,4031.471436,3516.5284667500005
475200,4347.816406,3538.9139038499998
478800,4500.743164,3525.1899414
482400,4553.337891,3540.56998285
486000,4574.033203,3524.844482399999
489600,4582.878906,3482.64799805
493200,4585.729004,3482.6534789999996
496800,4585.23584,3492.7335328
500400,4535.539063,3637.679907249999
504000,3166.041992,3470.29960335
507600,1992.007202,2140.1651793499996
511200,1404.248413,1408.599209765
514800,1065.142456,1027.39682004
518400,843.6290283,796.299234015
522000,689.4587402,641.1746307450001
525600,578.065918,1112.6507141349998
529200,1918.993896,2051.0001082900003
532800,3185.222656,2866.7440674
536400,3778.769287,3462.9253540500004
540000,4092.8479,3695.3294557500003
543600,4273.467773,3715.5006958500003
547200,4381.856445,3674.0755005
550800,4448.518066,3544.85523675
554400,4094.755615,3458.1901854499993
558000,4255.632813,3524.5741455500006
561600,4459.98877,3464.59169925
565200,4110.32373,3395.6880370999997
568800,4306.958008,3431.8088744500005
572400,4500.129883,3418.0449952000004
576000,4564.959961,3473.4203126
579600,4588.804688,3428.70238035
583200,4598.066406,3437.76883545
586800,4554.341797,3556.3742431499995
590400,3461.938965,3681.8722167
